!	{"ud.punct": 1.0}
!!	{"ud.punct": 1.0}
!!!	{"ud.punct": 1.0}
!!!!	{"ud.punct": 1.0}
!!!!!	{"ud.punct": 1.0}
!!!!!!	{"ud.punct": 1.0}
!!!!!!!	{"ud.punct": 1.0}
!?	{"ud.punct": 1.0}
"	{"ud.punct": 0.9969135802469136, "ud.noun": 0.0030864197530864196}
arrv.	{"ud.verb": 1.0}
art	{"ud.noun": 0.8235294117647058, "ud.propn": 0.11764705882352941, "ud.aux": 0.058823529411764705}
arthritis	{"ud.noun": 1.0}
article	{"ud.noun": 1.0}
articles	{"ud.noun": 1.0}
articulating	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
artistic	{"ud.adj": 1.0}
artists	{"ud.noun": 1.0}
arts	{"ud.propn": 0.5, "ud.noun": 0.5}
arvn	{"ud.propn": 1.0}
as	{"ud.sconj": 0.3752620545073375, "ud.adp": 0.42033542976939203, "ud.adv": 0.20335429769392033, "ud.aux": 0.0010482180293501049}
as400	{"ud.noun": 1.0}
asap	{"ud.adv": 1.0}
asia	{"ud.propn": 1.0}
asian	{"ud.adj": 1.0}
aside	{"ud.adv": 0.75, "ud.adp": 0.25}
ask	{"ud.verb": 0.9795918367346939, "ud.sconj": 0.02040816326530612}
asked	{"ud.verb": 1.0}
asking	{"ud.verb": 1.0}
aspect	{"ud.noun": 1.0}
aspects	{"ud.noun": 1.0}
assassinated	{"ud.verb": 1.0}
assassination	{"ud.noun": 1.0}
assault	{"ud.noun": 1.0}
assembly	{"ud.propn": 0.6, "ud.noun": 0.4}
assessment	{"ud.noun": 0.75, "ud.propn": 0.25}
asset	{"ud.noun": 1.0}
assets	{"ud.noun": 1.0}
assigned	{"ud.verb": 1.0}
assist	{"ud.verb": 1.0}
assistance	{"ud.noun": 0.9285714285714286, "ud.propn": 0.07142857142857142}
assistant	{"ud.adj": 0.125, "ud.propn": 0.125, "ud.noun": 0.75}
assisting	{"ud.verb": 1.0}
associate	{"ud.noun": 0.6923076923076923, "ud.propn": 0.07692307692307693, "ud.verb": 0.23076923076923078}
associated	{"ud.verb": 0.7777777777777778, "ud.adj": 0.1111111111111111, "ud.propn": 0.1111111111111111}
associates	{"ud.noun": 0.75, "ud.verb": 0.25}
association	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
assume	{"ud.verb": 1.0}
assuming	{"ud.verb": 1.0}
assurance	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
assured	{"ud.verb": 1.0}
aster	{"ud.propn": 1.0}
astronauts	{"ud.noun": 1.0}
asymmetrical	{"ud.adj": 1.0}
at	{"ud.adp": 0.86375, "ud.adv": 0.1175, "ud.sconj": 0.0175, "ud.cconj": 0.00125}
ate	{"ud.verb": 1.0}
atlanta	{"ud.propn": 1.0}
atlantic	{"ud.propn": 1.0}
atmosphere	{"ud.noun": 1.0}
atomic	{"ud.propn": 1.0}
atrocities	{"ud.noun": 1.0}
atrophy	{"ud.noun": 1.0}
atta	{"ud.propn": 1.0}
attach	{"ud.verb": 1.0}
attached	{"ud.verb": 0.9875, "ud.adj": 0.0125}
attachment	{"ud.noun": 1.0}
attachments	{"ud.noun": 1.0}
attack	{"ud.noun": 0.78125, "ud.verb": 0.21875}
attacked	{"ud.verb": 1.0}
attacks	{"ud.noun": 0.8636363636363636, "ud.verb": 0.13636363636363635}
attain	{"ud.verb": 1.0}
attempt	{"ud.noun": 0.8888888888888888, "ud.verb": 0.1111111111111111}
attempted	{"ud.verb": 1.0}
attempting	{"ud.verb": 1.0}
attempts	{"ud.noun": 1.0}
attend	{"ud.verb": 1.0}
attended	{"ud.verb": 1.0}
attending	{"ud.verb": 1.0}
attention	{"ud.noun": 1.0}
attentive	{"ud.adj": 1.0}
attitude	{"ud.noun": 1.0}
attorney	{"ud.noun": 0.75, "ud.propn": 0.25}
attorneys	{"ud.noun": 1.0}
attract	{"ud.verb": 1.0}
audience	{"ud.noun": 1.0}
audit	{"ud.noun": 1.0}
august	{"ud.propn": 1.0}
aunt	{"ud.noun": 1.0}
austin	{"ud.propn": 1.0}
australia	{"ud.propn": 1.0}
austria	{"ud.propn": 1.0}
authentic	{"ud.adj": 1.0}
author	{"ud.noun": 1.0}
authorities	{"ud.noun": 1.0}
authority	{"ud.noun": 0.8461538461538461, "ud.propn": 0.15384615384615385}
authorization	{"ud.noun": 1.0}
authorized	{"ud.verb": 1.0}
auto	{"ud.noun": 0.5, "ud.propn": 0.5}
automatic	{"ud.adj": 1.0}
automatically	{"ud.adv": 1.0}
autos	{"ud.propn": 1.0}
autumn	{"ud.noun": 0.5, "ud.propn": 0.5}
availability	{"ud.noun": 1.0}
available	{"ud.adj": 1.0}
ave	{"ud.propn": 1.0}
average	{"ud.adj": 0.8333333333333334, "ud.noun": 0.16666666666666666}
aviation	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
avoid	{"ud.verb": 1.0}
avoided	{"ud.verb": 1.0}
avoiding	{"ud.verb": 1.0}
award	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
awarded	{"ud.verb": 1.0}
awards	{"ud.noun": 1.0}
aware	{"ud.adj": 1.0}
away	{"ud.adv": 0.9102564102564102, "ud.adp": 0.08974358974358974}
awesome	{"ud.adj": 1.0}
awful	{"ud.adj": 1.0}
ayatollah	{"ud.propn": 1.0}
ayman	{"ud.propn": 1.0}
b	{"ud.noun": 0.275, "ud.x": 0.125, "ud.propn": 0.225, "ud.num": 0.275, "ud.adj": 0.1}
b&b	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
ba'athist	{"ud.propn": 1.0}
ba'athists	{"ud.propn": 1.0}
baath	{"ud.propn": 1.0}
baba	{"ud.propn": 0.42857142857142855, "ud.noun": 0.5714285714285714}
babies	{"ud.noun": 0.9166666666666666, "ud.propn": 0.08333333333333333}
baby	{"ud.noun": 0.875, "ud.propn": 0.03125, "ud.adj": 0.09375}
back	{"ud.adv": 0.7415254237288136, "ud.verb": 0.01694915254237288, "ud.adp": 0.07203389830508475, "ud.adj": 0.025423728813559324, "ud.noun": 0.1440677966101695}
backed	{"ud.verb": 1.0}
background	{"ud.noun": 1.0}
backweb	{"ud.propn": 1.0}
bad	{"ud.adj": 0.9166666666666666, "ud.noun": 0.013888888888888888, "ud.propn": 0.027777777777777776, "ud.adv": 0.041666666666666664}
badly	{"ud.adv": 1.0}
baffin	{"ud.propn": 1.0}
bag	{"ud.noun": 1.0}
baghdad	{"ud.propn": 1.0}
bags	{"ud.noun": 1.0}
bailey	{"ud.propn": 1.0}
bait	{"ud.noun": 0.75, "ud.verb": 0.25}
balance	{"ud.propn": 0.1, "ud.noun": 0.85, "ud.verb": 0.05}
balances	{"ud.noun": 1.0}
balcony	{"ud.noun": 1.0}
ball	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
ballerina	{"ud.noun": 1.0}
baluchistan	{"ud.propn": 1.0}
ban	{"ud.propn": 0.3333333333333333, "ud.verb": 0.3333333333333333, "ud.noun": 0.3333333333333333}
band	{"ud.noun": 0.9444444444444444, "ud.propn": 0.05555555555555555}
bands	{"ud.noun": 1.0}
bang	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
bangladesh	{"ud.propn": 1.0}
bangladeshi	{"ud.adj": 1.0}
bangs	{"ud.propn": 1.0}
bank	{"ud.propn": 0.6428571428571429, "ud.noun": 0.35714285714285715}
bankrupt	{"ud.adj": 1.0}
bankruptcy	{"ud.noun": 1.0}
banks	{"ud.noun": 1.0}
banned	{"ud.verb": 1.0}
banners	{"ud.noun": 1.0}
bar	{"ud.verb": 0.125, "ud.noun": 0.875}
barbara	{"ud.propn": 1.0}
barcelona	{"ud.propn": 1.0}
barclays	{"ud.propn": 1.0}
bareback	{"ud.adj": 0.3333333333333333, "ud.adv": 0.6666666666666666}
barely	{"ud.adv": 1.0}
barn	{"ud.noun": 1.0}
barno	{"ud.propn": 1.0}
barrels	{"ud.noun": 1.0}
barrett	{"ud.propn": 1.0}
bars	{"ud.noun": 1.0}
base	{"ud.noun": 0.95, "ud.verb": 0.05}
based	{"ud.verb": 0.9787234042553191, "ud.adj": 0.02127659574468085}
basic	{"ud.adj": 0.7272727272727273, "ud.propn": 0.2727272727272727}
basically	{"ud.adv": 1.0}
basis	{"ud.noun": 0.96, "ud.adj": 0.04}
basking	{"ud.verb": 0.5, "ud.noun": 0.5}
bathroom	{"ud.noun": 1.0}
battle	{"ud.noun": 0.75, "ud.verb": 0.25}
bay	{"ud.propn": 0.9285714285714286, "ud.noun": 0.07142857142857142}
bbq	{"ud.noun": 1.0}
bc	{"ud.propn": 0.8333333333333334, "ud.noun": 0.16666666666666666}
be	{"ud.aux": 0.9399823477493381, "ud.verb": 0.05825242718446602, "ud.noun": 0.00176522506619594}
beach	{"ud.noun": 0.7777777777777778, "ud.propn": 0.2222222222222222}
beak	{"ud.noun": 1.0}
bear	{"ud.noun": 0.8333333333333334, "ud.adj": 0.05555555555555555, "ud.verb": 0.1111111111111111}
beard	{"ud.noun": 1.0}
bearded	{"ud.adj": 0.625, "ud.verb": 0.375}
beardies	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
bears	{"ud.noun": 0.75, "ud.verb": 0.25}
beast	{"ud.propn": 1.0}
beat	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
beating	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
beatles	{"ud.propn": 1.0}
beats	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
beautiful	{"ud.adj": 1.0}
beauty	{"ud.noun": 1.0}
became	{"ud.verb": 1.0}
because	{"ud.sconj": 0.7990430622009569, "ud.adp": 0.20095693779904306}
become	{"ud.verb": 1.0}
becomes	{"ud.verb": 1.0}
becoming	{"ud.verb": 1.0}
becuse	{"ud.adp": 0.3333333333333333, "ud.sconj": 0.6666666666666666}
bed	{"ud.noun": 1.0}
bedding	{"ud.noun": 1.0}
bedroom	{"ud.noun": 1.0}
beef	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
been	{"ud.verb": 0.05865102639296188, "ud.aux": 0.9413489736070382}
beer	{"ud.noun": 1.0}
beers	{"ud.noun": 1.0}
before	{"ud.sconj": 0.5136612021857924, "ud.adp": 0.31693989071038253, "ud.adv": 0.16939890710382513}
began	{"ud.verb": 1.0}
begin	{"ud.verb": 1.0}
beginner	{"ud.noun": 1.0}
beginning	{"ud.verb": 0.3888888888888889, "ud.noun": 0.6111111111111112}
begun	{"ud.verb": 1.0}
behalf	{"ud.noun": 1.0}
behavior	{"ud.noun": 1.0}
behaviour	{"ud.noun": 1.0}
behind	{"ud.adp": 0.9285714285714286, "ud.adv": 0.07142857142857142}
being	{"ud.aux": 0.9403973509933775, "ud.verb": 0.026490066225165563, "ud.noun": 0.033112582781456956}
beings	{"ud.noun": 1.0}
belgium	{"ud.propn": 1.0}
belief	{"ud.noun": 1.0}
believe	{"ud.verb": 1.0}
believed	{"ud.verb": 1.0}
believes	{"ud.verb": 1.0}
belly	{"ud.noun": 1.0}
belong	{"ud.verb": 1.0}
belonged	{"ud.verb": 1.0}
beloved	{"ud.adj": 1.0}
below	{"ud.sconj": 0.017543859649122806, "ud.adp": 0.19298245614035087, "ud.adv": 0.7543859649122807, "ud.adj": 0.03508771929824561}
belt	{"ud.noun": 1.0}
ben	{"ud.x": 0.0625, "ud.propn": 0.9375}
bending	{"ud.verb": 1.0}
beneficial	{"ud.adj": 1.0}
benefit	{"ud.verb": 0.2777777777777778, "ud.noun": 0.6666666666666666, "ud.propn": 0.05555555555555555}
benefits	{"ud.noun": 0.875, "ud.verb": 0.125}
bengal	{"ud.propn": 1.0}
bernard	{"ud.propn": 1.0}
beschta	{"ud.propn": 1.0}
besides	{"ud.sconj": 0.2, "ud.adp": 0.6, "ud.adv": 0.2}
best	{"ud.adj": 0.9154228855721394, "ud.adv": 0.07960199004975124, "ud.propn": 0.004975124378109453}
bet	{"ud.verb": 0.3, "ud.noun": 0.7}
betta	{"ud.noun": 1.0}
better	{"ud.adj": 0.7807017543859649, "ud.adv": 0.21929824561403508}
between	{"ud.adp": 0.978021978021978, "ud.adv": 0.02197802197802198}
beware	{"ud.verb": 1.0}
beyond	{"ud.adp": 0.35, "ud.sconj": 0.15, "ud.adv": 0.2, "ud.propn": 0.3}
bhutan	{"ud.propn": 1.0}
bid	{"ud.noun": 0.75, "ud.verb": 0.25}
bienvenue	{"ud.propn": 1.0}
big	{"ud.adj": 0.9104477611940298, "ud.propn": 0.08955223880597014}
bigger	{"ud.adj": 0.9411764705882353, "ud.adv": 0.058823529411764705}
biggest	{"ud.adj": 1.0}
bike	{"ud.noun": 1.0}
bill	{"ud.propn": 0.5405405405405406, "ud.noun": 0.40540540540540543, "ud.verb": 0.05405405405405406}
billing	{"ud.noun": 1.0}
billion	{"ud.num": 1.0}
billions	{"ud.noun": 1.0}
biloxi	{"ud.propn": 1.0}
bin	{"ud.propn": 1.0}
biochemical	{"ud.adj": 1.0}
biological	{"ud.adj": 1.0}
bird	{"ud.noun": 1.0}
birds	{"ud.noun": 1.0}
birth	{"ud.noun": 1.0}
birthday	{"ud.noun": 1.0}
bit	{"ud.noun": 1.0}
bite	{"ud.verb": 0.8181818181818182, "ud.noun": 0.18181818181818182}
bites	{"ud.verb": 0.75, "ud.noun": 0.25}
biting	{"ud.verb": 0.8888888888888888, "ud.noun": 0.1111111111111111}
bitmap	{"ud.noun": 1.0}
biz	{"ud.noun": 1.0}
black	{"ud.adj": 0.8928571428571429, "ud.propn": 0.07142857142857142, "ud.noun": 0.03571428571428571}
blackline	{"ud.x": 0.6666666666666666, "ud.verb": 0.3333333333333333}
blacklined	{"ud.verb": 1.0}
bladder	{"ud.noun": 1.0}
blair	{"ud.propn": 1.0}
blame	{"ud.noun": 0.4, "ud.verb": 0.6}
blanco	{"ud.propn": 1.0}
bland	{"ud.adj": 1.0}
blank	{"ud.adj": 1.0}
blanket	{"ud.noun": 1.0}
bleeding	{"ud.verb": 1.0}
blended	{"ud.verb": 1.0}
bless	{"ud.verb": 1.0}
blessings	{"ud.noun": 1.0}
blew	{"ud.verb": 1.0}
blind	{"ud.adj": 1.0}
block	{"ud.noun": 0.8333333333333334, "ud.verb": 0.16666666666666666}
blocks	{"ud.noun": 0.9, "ud.propn": 0.1}
blog	{"ud.noun": 1.0}
blood	{"ud.noun": 0.95, "ud.propn": 0.05}
bloody	{"ud.adj": 1.0}
blount	{"ud.propn": 1.0}
blow	{"ud.verb": 0.75, "ud.noun": 0.25}
blowing	{"ud.noun": 0.3333333333333333, "ud.verb": 0.3333333333333333, "ud.adj": 0.3333333333333333}
blown	{"ud.verb": 1.0}
blows	{"ud.verb": 0.8, "ud.noun": 0.2}
blue	{"ud.adj": 0.47058823529411764, "ud.noun": 0.058823529411764705, "ud.propn": 0.47058823529411764}
bn	{"ud.num": 1.0}
bna	{"ud.propn": 1.0}
board	{"ud.noun": 0.7272727272727273, "ud.propn": 0.06060606060606061, "ud.verb": 0.15151515151515152, "ud.adp": 0.06060606060606061}
boarding	{"ud.noun": 0.8, "ud.verb": 0.2}
boasts	{"ud.noun": 0.3333333333333333, "ud.verb": 0.6666666666666666}
boat	{"ud.propn": 0.4444444444444444, "ud.noun": 0.5555555555555556}
bob	{"ud.propn": 1.0}
bobby	{"ud.propn": 1.0}
bodies	{"ud.noun": 1.0}
body	{"ud.noun": 1.0}
boiled	{"ud.verb": 1.0}
bojinka	{"ud.propn": 1.0}
bomb	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
bombing	{"ud.noun": 1.0}
bombings	{"ud.noun": 1.0}
bombs	{"ud.noun": 1.0}
bond	{"ud.noun": 1.0}
bondad	{"ud.noun": 0.7692307692307693, "ud.verb": 0.15384615384615385, "ud.adj": 0.07692307692307693}
bonus	{"ud.noun": 1.0}
book	{"ud.noun": 0.6666666666666666, "ud.verb": 0.2727272727272727, "ud.propn": 0.06060606060606061}
booked	{"ud.verb": 1.0}
booking	{"ud.verb": 0.5, "ud.noun": 0.5}
books	{"ud.noun": 1.0}
boot	{"ud.noun": 0.3333333333333333, "ud.verb": 0.6666666666666666}
boots	{"ud.noun": 1.0}
border	{"ud.noun": 1.0}
borders	{"ud.noun": 1.0}
born	{"ud.verb": 1.0}
bosnia	{"ud.propn": 1.0}
boss	{"ud.noun": 1.0}
boston	{"ud.propn": 1.0}
both	{"ud.det": 0.45045045045045046, "ud.cconj": 0.4594594594594595, "ud.adv": 0.09009009009009009}
bother	{"ud.verb": 1.0}
bothered	{"ud.verb": 1.0}
bottle	{"ud.noun": 1.0}
bottom	{"ud.noun": 0.8461538461538461, "ud.adj": 0.15384615384615385}
bought	{"ud.verb": 1.0}
bout	{"ud.noun": 0.2, "ud.propn": 0.8}
bowl	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
bowtie	{"ud.propn": 1.0}
box	{"ud.noun": 0.8636363636363636, "ud.propn": 0.13636363636363635}
boxes	{"ud.noun": 1.0}
boy	{"ud.noun": 0.75, "ud.propn": 0.25}
boyfriend	{"ud.noun": 1.0}
boys	{"ud.noun": 1.0}
bradley	{"ud.x": 0.16666666666666666, "ud.propn": 0.8333333333333334}
brain	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
branch	{"ud.noun": 1.0}
branches	{"ud.noun": 1.0}
brand	{"ud.adv": 0.4, "ud.noun": 0.6}
brass	{"ud.noun": 1.0}
brave	{"ud.adj": 1.0}
bravery	{"ud.noun": 1.0}
brazil	{"ud.propn": 1.0}
bread	{"ud.noun": 1.0}
break	{"ud.noun": 0.5, "ud.verb": 0.5}
breakfast	{"ud.noun": 0.75, "ud.propn": 0.25}
breaking	{"ud.verb": 0.5, "ud.noun": 0.5}
breaks	{"ud.verb": 0.42857142857142855, "ud.noun": 0.5714285714285714}
breast	{"ud.noun": 1.0}
breath	{"ud.noun": 1.0}
breathe	{"ud.verb": 1.0}
breed	{"ud.noun": 0.6, "ud.verb": 0.4}
breeding	{"ud.noun": 0.5714285714285714, "ud.verb": 0.42857142857142855}
breeze	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
breyer	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
brian	{"ud.propn": 1.0}
bridget	{"ud.propn": 1.0}
brief	{"ud.adj": 0.42857142857142855, "ud.verb": 0.2857142857142857, "ud.noun": 0.2857142857142857}
brigades	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
briggs	{"ud.propn": 1.0}
bright	{"ud.adj": 0.6666666666666666, "ud.propn": 0.3333333333333333}
bring	{"ud.verb": 1.0}
bringing	{"ud.verb": 1.0}
brings	{"ud.verb": 1.0}
britain	{"ud.propn": 1.0}
british	{"ud.adj": 0.7, "ud.propn": 0.3}
broad	{"ud.adj": 0.25, "ud.propn": 0.75}
broke	{"ud.verb": 0.8888888888888888, "ud.adj": 0.1111111111111111}
broken	{"ud.verb": 0.5555555555555556, "ud.adj": 0.4444444444444444}
broker	{"ud.noun": 1.0}
bronze	{"ud.noun": 1.0}
brooklyn	{"ud.propn": 1.0}
brother	{"ud.noun": 1.0}
brought	{"ud.verb": 1.0}
brown	{"ud.propn": 0.6363636363636364, "ud.adj": 0.2727272727272727, "ud.noun": 0.09090909090909091}
bs	{"ud.noun": 0.8, "ud.propn": 0.2}
bta	{"ud.propn": 1.0}
btw	{"ud.adv": 1.0}
bu	{"ud.propn": 1.0}
buchanan	{"ud.propn": 1.0}
buck	{"ud.propn": 0.5, "ud.noun": 0.5}
bucks	{"ud.noun": 1.0}
budget	{"ud.noun": 1.0}
budgie	{"ud.noun": 1.0}
buenos	{"ud.propn": 1.0}
bugs	{"ud.noun": 1.0}
build	{"ud.verb": 0.9333333333333333, "ud.noun": 0.06666666666666667}
building	{"ud.noun": 0.7894736842105263, "ud.verb": 0.15789473684210525, "ud.propn": 0.05263157894736842}
built	{"ud.verb": 1.0}
bulb	{"ud.noun": 1.0}
bulbs	{"ud.noun": 1.0}
bunch	{"ud.noun": 1.0}
burger	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
burn	{"ud.verb": 1.0}
burning	{"ud.verb": 1.0}
burst	{"ud.verb": 0.25, "ud.noun": 0.75}
bus	{"ud.noun": 1.0}
buses	{"ud.noun": 1.0}
bush	{"ud.propn": 1.0}
business	{"ud.noun": 0.9306930693069307, "ud.propn": 0.06930693069306931}
businesses	{"ud.noun": 1.0}
busy	{"ud.adj": 1.0}
but	{"ud.cconj": 0.981081081081081, "ud.adp": 0.012162162162162163, "ud.adv": 0.002702702702702703, "ud.noun": 0.0013513513513513514, "ud.sconj": 0.002702702702702703}
butcher	{"ud.verb": 0.25, "ud.propn": 0.75}
butt	{"ud.noun": 1.0}
butterfly	{"ud.noun": 1.0}
button	{"ud.noun": 1.0}
buy	{"ud.verb": 0.9782608695652174, "ud.noun": 0.021739130434782608}
buying	{"ud.verb": 0.8421052631578947, "ud.noun": 0.15789473684210525}
by	{"ud.adp": 0.8909657320872274, "ud.sconj": 0.09501557632398754, "ud.adv": 0.012461059190031152, "ud.verb": 0.001557632398753894}
c	{"ud.noun": 0.4666666666666667, "ud.propn": 0.3333333333333333, "ud.x": 0.2}
ca	{"ud.noun": 0.043478260869565216, "ud.aux": 0.8478260869565217, "ud.propn": 0.10869565217391304}
cabin	{"ud.noun": 1.0}
cabinet	{"ud.noun": 1.0}
cafe	{"ud.noun": 0.4, "ud.propn": 0.6}
cafes	{"ud.noun": 1.0}
cage	{"ud.noun": 1.0}
cages	{"ud.noun": 1.0}
cake	{"ud.noun": 1.0}
cakes	{"ud.noun": 1.0}
calculation	{"ud.noun": 1.0}
calendar	{"ud.noun": 0.8, "ud.verb": 0.2}
calgary	{"ud.propn": 1.0}
california	{"ud.propn": 1.0}
call	{"ud.verb": 0.5061728395061729, "ud.noun": 0.49382716049382713}
called	{"ud.verb": 1.0}
calling	{"ud.verb": 0.9333333333333333, "ud.noun": 0.06666666666666667}
calls	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
calm	{"ud.adj": 0.7142857142857143, "ud.verb": 0.2857142857142857}
cambodia	{"ud.propn": 1.0}
came	{"ud.verb": 1.0}
camera	{"ud.noun": 1.0}
camp	{"ud.noun": 0.3333333333333333, "ud.propn": 0.5, "ud.verb": 0.16666666666666666}
campaign	{"ud.noun": 1.0}
campus	{"ud.noun": 1.0}
can	{"ud.aux": 0.9905660377358491, "ud.noun": 0.007861635220125786, "ud.propn": 0.0015723270440251573}
canada	{"ud.propn": 1.0}
canadian	{"ud.adj": 0.7058823529411765, "ud.propn": 0.29411764705882354}
canal	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
cancel	{"ud.verb": 1.0}
cancer	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
candidate	{"ud.noun": 1.0}
candidates	{"ud.noun": 1.0}
canned	{"ud.verb": 1.0}
canon	{"ud.propn": 1.0}
cap	{"ud.x": 0.26666666666666666, "ud.noun": 0.7333333333333333}
capabilities	{"ud.noun": 1.0}
capability	{"ud.noun": 1.0}
capable	{"ud.adj": 1.0}
capacity	{"ud.noun": 1.0}
capital	{"ud.noun": 0.75, "ud.adj": 0.2, "ud.propn": 0.05}
caps	{"ud.verb": 0.14285714285714285, "ud.noun": 0.8571428571428571}
captain	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
capture	{"ud.verb": 0.5, "ud.noun": 0.5}
captured	{"ud.verb": 1.0}
car	{"ud.noun": 1.0}
carbon	{"ud.noun": 1.0}
card	{"ud.noun": 0.9375, "ud.propn": 0.0625}
cards	{"ud.noun": 1.0}
care	{"ud.noun": 0.6714285714285714, "ud.verb": 0.2857142857142857, "ud.propn": 0.04285714285714286}
career	{"ud.noun": 1.0}
careful	{"ud.adj": 1.0}
carefully	{"ud.adv": 1.0}
cares	{"ud.verb": 1.0}
cargill	{"ud.propn": 1.0}
cargo	{"ud.noun": 1.0}
caribbean	{"ud.propn": 0.875, "ud.adj": 0.125}
caring	{"ud.verb": 0.2857142857142857, "ud.adj": 0.5714285714285714, "ud.noun": 0.14285714285714285}
carnegie	{"ud.propn": 1.0}
carnival	{"ud.propn": 1.0}
carol	{"ud.propn": 1.0}
carol.st.clair@enron.com	{"ud.x": 1.0}
carolina	{"ud.propn": 1.0}
carried	{"ud.verb": 1.0}
carry	{"ud.verb": 1.0}
carrying	{"ud.verb": 1.0}
cars	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
case	{"ud.noun": 0.9821428571428571, "ud.verb": 0.017857142857142856}
cases	{"ud.noun": 1.0}
cash	{"ud.noun": 0.9047619047619048, "ud.propn": 0.09523809523809523}
cashout	{"ud.noun": 1.0}
cast	{"ud.noun": 0.4, "ud.verb": 0.6}
casualties	{"ud.noun": 1.0}
cat	{"ud.noun": 1.0}
catch	{"ud.noun": 0.2222222222222222, "ud.verb": 0.7777777777777778}
category	{"ud.noun": 1.0}
cats	{"ud.noun": 1.0}
caucasian	{"ud.adj": 1.0}
caucasians	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
caught	{"ud.verb": 1.0}
cause	{"ud.sconj": 0.3181818181818182, "ud.noun": 0.3181818181818182, "ud.verb": 0.36363636363636365}
caused	{"ud.verb": 1.0}
causing	{"ud.verb": 1.0}
cc	{"ud.noun": 0.8, "ud.verb": 0.2}
cd	{"ud.propn": 0.75, "ud.noun": 0.25}
cdec	{"ud.propn": 1.0}
ceiling	{"ud.noun": 1.0}
cell	{"ud.noun": 1.0}
cells	{"ud.noun": 1.0}
censor	{"ud.verb": 1.0}
cent	{"ud.noun": 1.0}
center	{"ud.noun": 0.391304347826087, "ud.propn": 0.6086956521739131}
central	{"ud.adj": 0.5294117647058824, "ud.propn": 0.47058823529411764}
centre	{"ud.noun": 0.6, "ud.propn": 0.4}
centres	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
century	{"ud.noun": 0.9230769230769231, "ud.propn": 0.07692307692307693}
ceo	{"ud.noun": 1.0}
certain	{"ud.adj": 1.0}
certainly	{"ud.adv": 1.0}
certificate	{"ud.noun": 1.0}
chain	{"ud.noun": 1.0}
chair	{"ud.noun": 1.0}
chairman	{"ud.noun": 0.5833333333333334, "ud.propn": 0.4166666666666667}
chairs	{"ud.verb": 0.25, "ud.noun": 0.75}
chalabi	{"ud.propn": 1.0}
challenges	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
challenging	{"ud.verb": 0.42857142857142855, "ud.adj": 0.5714285714285714}
chance	{"ud.noun": 1.0}
chances	{"ud.noun": 1.0}
chandeliers	{"ud.noun": 1.0}
change	{"ud.noun": 0.53125, "ud.verb": 0.4375, "ud.propn": 0.03125}
changed	{"ud.verb": 1.0}
changes	{"ud.verb": 0.027777777777777776, "ud.noun": 0.9722222222222222}
changing	{"ud.verb": 0.7333333333333333, "ud.noun": 0.26666666666666666}
channel	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
chaos	{"ud.noun": 1.0}
chapter	{"ud.noun": 1.0}
characters	{"ud.noun": 1.0}
charcoal	{"ud.noun": 1.0}
charge	{"ud.noun": 0.41025641025641024, "ud.verb": 0.5897435897435898}
charged	{"ud.verb": 1.0}
charges	{"ud.noun": 0.6, "ud.verb": 0.4}
charity	{"ud.noun": 0.75, "ud.propn": 0.25}
charles	{"ud.propn": 0.8, "ud.noun": 0.2}
chase	{"ud.noun": 1.0}
chatting	{"ud.verb": 1.0}
cheap	{"ud.adj": 1.0}
cheaper	{"ud.adj": 1.0}
